country,Period,Age (x),Age interval (n),nmx,nqx,npx,lx,ndx,nLx,nSx,Tx,e0x,nax
Kenya,2095-2100,60,5,0.00557912,0.02754063,0.97245937,92907.173,2558.722,458624.185,0.9640979,2337084.26,25.155,2.6896
Kenya,2095-2100,65,5,0.00945047,0.04624991,0.95375009,90348.451,4178.608,442158.614,0.93878579,1878460.074,20.7913,2.7065
Kenya,2095-2100,70,5,0.01652265,0.07959191,0.92040809,86169.843,6858.422,415092.223,0.8944223,1436301.46,16.6683,2.7025
Kenya,2095-2100,75,5,0.02947241,0.13796442,0.86203558,79311.421,10942.154,371267.739,0.81524551,1021209.237,12.8759,2.6888
Kenya,2095-2100,80,5,0.05491346,0.24310478,0.75689522,68369.267,16620.896,302674.357,0.68403621,649941.498,9.5063,2.6432
Kenya,2095-2100,85,5,0.10149331,0.4060649,0.5939351,51748.371,21013.197,207040.22,0.49917626,347267.14,6.7107,2.5396
Kenya,2095-2100,90,5,0.18320341,0.61603662,0.38396338,30735.174,18933.992,103349.564,0.30507167,140226.92,4.5624,2.342
Kenya,2095-2100,95,5,0.29698739,0.79345639,0.20654361,11801.181,9363.723,31529.024,0.145030242,36877.357,3.1249,2.0656
Kenya,2095-2100,100,-1,0.455746969,...,...,2437.459,2437.459,5348.332,...,5348.332,2.1942,2.1942
Madagascar,2095-2100,0,1,0.00433153,0.00431406,0.99568594,100000,431.406,99596.691,0.99517255,8310062.637,83.1006,0.0651
Madagascar,2095-2100,1,4,0.00028801,0.00115121,0.99884879,99568.594,114.624,397989.584,0.99903369,8210465.946,82.4604,1.5154
Madagascar,2095-2100,5,5,0.00013228,0.0006612,0.9993388,99453.97,65.759,497105.452,0.99937098,7812476.362,78.5537,2.5
Madagascar,2095-2100,10,5,0.0001194,0.00059682,0.99940318,99388.211,59.317,496792.761,0.99921423,7315370.911,73.604,2.5
Madagascar,2095-2100,15,5,0.0002117,0.00105798,0.99894202,99328.894,105.088,496402.395,0.9987011,6818578.15,68.6465,2.6965
Madagascar,2095-2100,20,5,0.00030726,0.00153518,0.99846482,99223.805,152.326,495757.62,0.99826041,6322175.754,63.7163,2.6274
Madagascar,2095-2100,25,5,0.00039146,0.00195545,0.99804455,99071.479,193.73,494895.205,0.99771404,5826418.134,58.8102,2.6143
Madagascar,2095-2100,30,5,0.00053382,0.0026657,0.9973343,98877.749,263.579,493763.893,0.99686647,5331522.929,53.9204,2.6294
Madagascar,2095-2100,35,5,0.00073223,0.00365482,0.99634518,98614.171,360.417,492216.671,0.99571544,4837759.035,49.0574,2.63
